"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MARUTI",13744,14201,13510,13412,14152,5.52,1511415,21136095898.65,"07-Aug-2026"
"TITAN",4277.5,4428.4,4275,4277.2,4423.1,3.41,1243464,5449468545.36,"08-Jul-2025"
"BAJFINANCE",986.9,1010.95,977.7,982.05,1007,3.17,12445420,12440690740.4,"30-Jun-2026"
"ADANIENT",2980,3054.6,2969,2962.5,3040,2.62,2099291,6334148748.48,"12-Jun-2026"
"ETERNAL",260.2,266.7,257.3,259.4,265.2,2.24,32940948,8649304716.36,"-"
"NESTLEIND",1387.3,1421.7,1387.3,1387.3,1413.8,1.91,3178483,4468533895.21,"10-Jul-2026"
"ADANIPORTS",1786.9,1816.3,1782.6,1776.1,1810.1,1.91,2230098,4015179944.1,"12-Jun-2026"
"TMPV",348,356.4,343.3,345.05,351.5,1.87,17609242,6187535453.96,"19-Jun-2026"
"SHRIRAMFIN",1032.65,1048,1030.25,1032.65,1046,1.29,5218792,5436728753.92,"03-Jul-2026"
"SBILIFE",1747.5,1777,1738,1755.4,1777,1.23,1456822,2565201314.04,"06-Mar-2026"
"CIPLA",1455.7,1480.8,1448.7,1454.1,1468,0.96,2818077,4132118124.33,"05-Jun-2026"
"GRASIM",3085,3128.9,3080.5,3080.2,3104,0.77,868872,2699098735.68,"12-Aug-2025"
"BHARTIARTL",1853,1876.6,1843.2,1841.1,1855,0.75,7233634,13451159432.02,"18-Jul-2025"
"BAJAJFINSV",1760,1799,1754.2,1759.3,1770,0.69,1234164,2195404973.04,"30-Jun-2026"
"BAJAJ-AUTO",9665,9750,9501,9630,9692,0.64,430959,4161559893.09,"24-Jun-2026"
"ONGC",233.95,236,227.65,234.05,235.25,0.51,24134402,5631038674.64,"18-Feb-2026"
"INDIGO",5320,5409.5,5318.4,5315.2,5341.5,0.49,1064890,5710121211.3,"13-Aug-2025"
"NTPC",354.75,358.35,352.9,356.1,357.75,0.46,10291360,3659916356.8,"06-Feb-2026"
"TRENT",3275,3295,3242.4,3258.3,3273,0.45,1512736,4956963579.52,"12-Jun-2026"
"BEL",413.5,414.45,408.5,411.6,412.6,0.24,14611849,6015259877.83,"06-Mar-2026"